40,"Wishing Mangesh Hadawale,  Sanjay Leela Bansali,  Mahaveer Jain,  Meezaan Jaffrey,  Sharmin Segal and the entire team of Malaal all the very best ! 

https://t.co/z2P2vpzLQb

Love.
a. https://t.co/m5LRwgcNGY"
41,"Dear @MajDPSingh, your post gave me goosebumps. 
We salute your courage, strength and grit in the face of adversity.  
Love and respect to you, Sir.
a. https://t.co/TYL8qurl1v"
42,"I'm very sad to hear about Veeruji passing away.I had the pleasure &amp; privilege of working with Veeruji.He was an amazing person to work with, extremely professional &amp; one of the best in his field. 
My heartfelt condolences to Ajay &amp; everyone in the family.  
Love and respect.
a."
43,"Hey guys, here is the 7th episode of Toofan Aalaya. Please watch.
https://t.co/KPxnhQ2U2A

Love
a
#PaaniFoundation #WaterCup2019 #ToofanAalaya @paanifoundation"
44,"Just saw a lovely play called 'A Farming Story', written by Vineet Bhalla and directed by Faezeh Jalali.  Try and catch it, there is another show tomorrow at 12pm at Prithvi. https://t.co/qlHEAXMoV3"
45,All of Amma's near and dear ones .... almost all... :-) https://t.co/8tRAu5Q8nm
46,"Azad, me, K, Amma and Appa. https://t.co/bLFGiK5QWb"
47,"Happy 75th Amma! 
Lots of love. 
a. https://t.co/mtN7Cm5xeM"
48,"Wow! I want to watch this. 
By the way,  how come there are no credits. I want to know the names of the crew members.
https://t.co/5YHWB1PaJS"
49,With chinese superstar #DengChao https://t.co/pgjEBrPI05
50,"Hey guys, here is the 6th episode of Toofan Aalaya. Please watch https://t.co/P0NjFlfyrT

Love
a

#ToofanAalaya #WaterCup2019 @paanifoundation"
51,"Dear @SunnyLeone,  wishing you a very happy birthday. Hope you had a great day.  Wishing you a great year ahead, and many happy returns of this very special day.  
Love. 
a."
52,"Ammi and me. 
Best Mom in the world! https://t.co/dgMM8bzMqU"
53,"My parents, Faisal and me :-) https://t.co/Y72Bc4Sgbl"
54,"My mom,  dad and Nikhat,  my elder sister... happy Mother's Day Ammi! 
😘 https://t.co/5VWUoLPJxi"
55,"Happy 21st Ira!!! 
Can't believe you got there so fast! You will always remain 6 for me! 
Love you. 
Papa. https://t.co/F91nUJjFbd"
56,"Hey guys,
Episode 5 of Toofan Alaya is all about the spirit that drove thousands of urban Jalmitras to do shramadaan.

Check it out : https://t.co/SGeao3fBIW

Love,
a

#ToofanAalaya @paanifoundation"
57,"My 1st Ad for Walkaroo. Check it out. I really enjoyed playing the flashes of different characters in it. Bob has done a great job of directing it. 
Hope you like it.
Love. 
a.
@vkcwalkaroo https://t.co/mkNBeM6b6R"
58,"Happy Mahashramdaan!

#mejalmitra #paanifoundation @paanifoundation https://t.co/K8qqxUYThd"
59,"Happy Maharashtra Day! 

#mejalmitra #paanifoundation @paanifoundation https://t.co/WKX9hZnqba"
60,"Happy Labour Day! 

#mejalmitra
#paanifoundation @paanifoundation https://t.co/zKzQnvJ5OV"
61,"At Zhawadarjun village yesterday. Stopped for the best ganney-ka-juice on the way there.

#MeJalmitra @paanifoundation https://t.co/eaOy1DqKnn"
62,"Thanks @MadhuriDixit for stepping in for me.  I made one request she was up for it.  Too sweet  
Please watch. 
Love. 
a.

https://t.co/ariLhGyWYA

@paanifoundation #WaterCup2019 #ToofanAalaya"
63,"Hey @sachin_rt, wishing you a very happy birthday. May this happy and special day return again and again! 
Lots of love.  
a. https://t.co/9bpKw0USju"
64,"RT @ECISVEEP: Straight from the mouth of Mr. Perfectionist!
@aamir_khan, #ECI National Icon makes a passionate appeal to all Indians to #Go…"
65,"Fight drought! Make a measurable impact! To donate, visit https://t.co/lm37Xlw07o.

@paanifoundation #WaterCup2019 #ToofanAalaya https://t.co/6wF5sfT8u4"
66,@paanifoundation #watercup2019 #toofanaalaya
67,"Hey guys, last date for registration is 23rd April.  

Click now on https://t.co/SATf06MU9l

Love. 
a. https://t.co/1lDQEAbDln"
68,"Hey guys, here is the second episode of Toofan Aalaya. Please watch.
@paanifoundation #WaterCup2019 #ToofanAalaya
Love
a
https://t.co/NiGLDaZjcm"
69,Thanks @ajinkyarahane88 for your support  and wishes. Love. a https://t.co/0gLp3MBrET
70,"Hey guys,
Please watch the first episode of Kiran &amp; my TV show, Toofan Aalaya. 
Tell me what you think ? 

https://t.co/OYIDzBBRhp

@paanifoundation #WaterCup2019 #ToofanAalaya season 3"
71,"Ran into one of my favourite actors, Superstar Chiranjeevi Garu at Kyoto airport! What a pleasant surprise :-) . 
Discussed his new project about freedom fighter Uyyalawada Narasimha Reddy. You are always such an inspiration sir 🙏. 
Love. 
a. https://t.co/qpwqo9sRqt"
72,"रेशमाची गुढी सजली, नवीन वर्षाच्या सणाला सुरवात झाली.
सर्वांना  नववर्षाच्या आणि गुढीपाडव्याच्या हार्दिक शुभेच्छा.

पहा 'तुफान आलंया' आज सायंकाळी ५:३० वा. आणि रात्री ९:३० वा. फक्त @zeemarathi वर. https://t.co/wG1uqMbmUO"
73,#VivoV15 @Vivo_India https://t.co/EPeM4qAQpY
74,"Hey guys,check out my new series of ads.
@PhonePe_ https://t.co/VgOKoPuVZg"
75,The cutest in the world... mazi baiko ❤ https://t.co/1azLWw0jSF
76,Coming Soon...aapke phone pe... https://t.co/0yoTvs2ji5
77,"Thanks @avigowariker
You always shoot me well. And this time I have my hand on the focus... so no stress ;-) https://t.co/tGPfgv1cwh"
78,"Thanks Sachin! 
Aata kya khandala ? 
Love. 
a. https://t.co/wkfE5VViho"
79,"Remembering my uncle,  Nasir Husain, Chachajaan for me,  my guru. Today is his death anniversary. It's been 17 years since we lost him. https://t.co/5DCcnIg3Jn"
80,"Absolutely right sir, Hon PM. Let us all engage as citizens of the biggest democracy in the world. Let us fulfill our responsibility, and avail of our right to get our voice heard. 
Vote! https://t.co/24vWPQHXQy"
81,".@TSeries @itsBhushanKumar 
https://t.co/Etw9pjNhZj https://t.co/yrQvsS9K0r"
82,Hey guys check out my new ad. #GoPop #V15Pro @Vivo_India https://t.co/gNyc9MGBAi
83,Imli and me https://t.co/1mMYsDKW5A
84,I am heartbroken to read about the terrorist attack on our CRPF Jawans in Pulwama. It's so tragic. My heartfelt condolences to the families of the Jawans who have lost their lives.
85,I wholeheartedly support the initiative taken by @SriSri for a #drugfreeindia. A great movement by @ArtofLiving . https://t.co/0ZqoozFZUV
86,"Aaila! Amar aur Prem do legends ke saath! Aur woh bhi Wembley Stadium mein!!! Oui ma!!!
Thank you for the pic Sir @SrBachchan https://t.co/kaARBDIum2"
87,"Happy Republic Day! 

20 mts to go...  then we will be Rubaru...

#RubaruRoshni"
88,"Thank you @SriSri Guruji. Your words of encouragement mean the world to us.  
Thank you 🙏. 
Love and respect. 
a. https://t.co/Se4cRXaUzJ"
89,"Always bringing joy and laughter into our lives, thank you @SriSri Guruji for your love, warmth and wisdom.  What a pleasure it was to spend time with you.  
🙏
Love. 
a. https://t.co/iqhoRzEq7G"
90,Thanks @avigowariker 🙏 https://t.co/NM9KtJPDjP
91,Thank you @HarshdeepKaur 🙏 https://t.co/EmdpfgsLk1
92,Thank @ShujaatSaudagar 🙏 https://t.co/AsjlzNVUfO
93,"Thank you @SunnyLeone 🙏. Thank you for coming,  and thank you for your kind words. https://t.co/dV75z5BR7S"
94,"शुक्रिया पंकजजी 🙏🏻 स्वातीजी, किरणजी और मुझे इतनी खुशी हुई के फ़िल्म का इतना गेहरा असर हुआ आप पर. धन्यवाद. https://t.co/pZGUKNFEXI"
95,"Thanks @ipritamofficial, so glad that you liked the film so much. https://t.co/8JGmDFTJnv"
96,Thank you @eyehinakhan. Your words humble me 🙏 https://t.co/VvD4RQarPv
97,Thanks @rahuldholakia 🙏 https://t.co/XHFThPpFJ5
98,Thank you so much @rs_prasanna. I'm so glad you liked it so much. https://t.co/M8WzgqpTfW
99,Thanks @JDMajethia. So touched with your response 🙏🏻 https://t.co/ycckBhFIhB
100,"Thanks @karanjohar, I am so glad you liked the film so much.  So touched with your response 🙏 https://t.co/5PiprI7e5c"
101,"Thanks @rajkumar_rkg,  thank you for your kind words. https://t.co/mUWfXRT7dM"
102,Thank you sir 🙏 https://t.co/EaI1B8DUH6
103,"Thanks @TusshKapoor, so touched with your response 🙏 https://t.co/7B9rXMGS7i"
104,Thanks @RonitBoseRoy 🙏 https://t.co/IRQzFvknaA
105,"Thank you @ParineetiChopra,  I am so glad you liked it so much. https://t.co/IlqbnvuOHa"
106,"#RubaruRoshni, 26th Jan, Saturday at 11am on @StarPlus https://t.co/fLNSuAVu8Z"
107,Gehri soch :-) https://t.co/WT3M7NakWy
108,https://t.co/bmq0D3Fncz
109,"My heartfelt condolences to the family of Mr Ramakant Achrekar, to Sachin,  and to all those close to him. We will always remember him with great fondness and respect for his contribution to Indian cricket.
May his soul rest in peace.  
a."
110,https://t.co/wkacN2k6aS
111,"Hey guys, our next film from AKP is premiering on @StarPlus, on 26th Jan at 11am. It's something that Kiran and I have produced, and which we are very close to. 
#RubaruRoshni. Directed by @content_rules
Don't miss it. 
Love. 
a. https://t.co/TVNEiXWehL"
112,"Hey Salman, 
Many happy returns of the day. May this year be your best ever.  
Love, 
a. 
@BeingSalmanKhan"
113,"Wishing everyone a Merry Christmas! 
Love. a"
114,"Heartfelt thank you to Honorable PM &amp; the Govt of India for considering the request of the film industry for reduction in GST.  If Indian cinema hopes to compete in the world market then we need the support of the Govt &amp; Administration.
This is a great 1st step in that direction."
115,"Thoroughly enjoyed shooting this! Was an absolute pleasure to work with Suresh Triveni and of course @TripathiiPankaj. Big thank you to Aatish and JD for helping me out with the accent!

#SachMein @starindia https://t.co/OhCAOR9UWg"
116,"I'm very saddened to hear of the devastation caused by Cyclone Gaja in Tamil Nadu. Let us all come together to help our brothers and sisters there who are suffering. Let us try and contribute in any way that we can. 
a."
117,And Obelix is refused the magic potion by Getafix!!! https://t.co/e8F4TwrUIZ
118,"Obelix waits in line for the magic potion,  while Asterix is drinking his dose. https://t.co/VwLGhyG7ZT"
119,"Obelix,  Dogmatix,  Asterix and Getafix the druid! https://t.co/kljq3Q4l6F"
